2024-12-20 20:39:28 [JavaFX Application Thread] INFO  project.calendar.Client - Request to - http://localhost:8000/getList?date=2024-12-10
2024-12-20 20:39:28 [HTTP-Dispatcher] INFO  project.calendar.Server - Request to - https://isdayoff.ru/api/getdata?year=2024&month=12&day=10
2024-12-20 20:39:28 [HTTP-Dispatcher] INFO  project.calendar.Server - GET Response Code :: 200
2024-12-20 20:39:28 [HTTP-Dispatcher] INFO  project.calendar.TaskDatabase - The connection to the database is established.
2024-12-20 20:39:28 [HTTP-Dispatcher] INFO  project.calendar.TaskDatabase - The connection to the database is closed.
2024-12-20 20:39:28 [JavaFX Application Thread] INFO  project.calendar.Client - GET Response Code :: 200
2024-12-20 20:39:28 [JavaFX Application Thread] INFO  project.calendar.Client - Response to a GET request: {"type":Рабочий день, "tasks":[]}
2024-12-20 23:58:02 [main] INFO  project.calendar.TaskDatabase - The connection to the database is established.
2024-12-20 23:58:02 [main] INFO  project.calendar.TaskDatabase - The table has been created or already exists.
2024-12-20 23:58:02 [main] INFO  project.calendar.TaskDatabase - The connection to the database is closed.
2024-12-20 23:58:02 [main] INFO  project.calendar.Server - The server is running on port 8000
2024-12-20 23:59:44 [main] INFO  project.calendar.TaskDatabase - The connection to the database is established.
2024-12-20 23:59:44 [main] INFO  project.calendar.TaskDatabase - The table has been created or already exists.
2024-12-20 23:59:44 [main] INFO  project.calendar.TaskDatabase - The connection to the database is closed.
2024-12-20 23:59:44 [main] INFO  project.calendar.Server - The server is running on port 8000
2024-12-20 23:59:50 [JavaFX Application Thread] INFO  project.calendar.Client - Request to - http://localhost:8000/getList?date=2024-12-20
2024-12-20 23:59:50 [HTTP-Dispatcher] INFO  project.calendar.Server - Request to - https://isdayoff.ru/api/getdata?year=2024&month=12&day=20
2024-12-20 23:59:50 [HTTP-Dispatcher] INFO  project.calendar.Server - GET Response Code :: 200
2024-12-20 23:59:50 [HTTP-Dispatcher] INFO  project.calendar.TaskDatabase - The connection to the database is established.
2024-12-20 23:59:50 [HTTP-Dispatcher] INFO  project.calendar.TaskDatabase - DB return list of tasks
2024-12-20 23:59:50 [HTTP-Dispatcher] INFO  project.calendar.TaskDatabase - The connection to the database is closed.
2024-12-20 23:59:50 [JavaFX Application Thread] INFO  project.calendar.Client - GET Response Code :: 200
